playcounts,name,fav,introduce,director,step,actor
,柏拉图之恋,,简介：方东一个小资生活的都市白领，有着深爱他，即将结婚的未婚妻于婷。一次意外的骚扰电话，打破了所有生活的宁静。夏小朵的出现，夏小朵男朋友郭言的存在，彻底颠覆了方东的情感世界。纠结与困惑，迷茫与失落，痛苦与悲哀，占据了他们四人的心灵世界。爱与不爱，放弃还是继续，最终诉说了一个男人付出与牺牲的故事。 一个女人为了自己心爱的男人甘愿付出一切牺牲时，她会拥有怎样的结局？  当一个男人知道自己的生命、事业、哪怕起码的自尊与希望都是由自己最爱的女人用身体换来的时候，他会怎么做呢？ 四个人的情感最终归向何处？四个人的命运又是何种结局？所有的爱与悔恨相互交织。 所有的泪与血彼此交融。 所有的理性都不能用来解释感性。,海歌,,"杨润坤,张红蕾"
,欲爱,,简介：东南亚某国首富千金上官雪儿，刚一回国就遭到绑架，危急时刻军人武天祥英雄救美。武天祥认定雪儿是他半年前消失的恋人，但雪儿对武天祥很陌生否认了一切。本以为两人再无交集，谁知雪儿为了拯救爸爸的生意，被逼答应联姻与英年早逝的未婚夫的哥哥，本国将军继承人完婚。上官雪儿隐忍着努力去做一个合格将军少夫人，却发现新郎竟是认祖归宗的武天祥，从此雪儿掉进了恶魔的牢笼。武天祥认定雪儿过去玩弄他的感情，婚后对雪儿百般折磨，直到对雪儿造成了无法原谅的伤害时，一个长相跟雪儿十分相像的女孩赖雪出现在了武天祥面前……消失的爱人是谁？谁才是武天祥真正的新娘？,褚会林,,"刘前程,金泊含"
,赤裸女特工2暗夜舞者,,简介：特工队拼死收集的证据一夜之间被盗走，抓到的罪犯也因证据不足而无罪释放，成员们一切努力付诸东流。在此关键时刻，大本营内部再受重创，美怡死于非命。组织内部有鬼，让队员们开始互相猜忌，一时间人心惶惶、军心涣散。组织核心成员不得不再次出动，最终寻回黄金夜壶。,"林弢,胡宗祥",,"靳美玲,于洋,郑德"
,西游之西梁女国,,简介：唐僧师徒四人取经途中经过被称之为女儿国的西梁女国，唐僧婉拒了女王的招赘之意，却不曾想被蝎子精掳走。孙悟空、猪八戒、沙僧三人制服了蝎子精救出师父后继续踏上西行之路。,苗金光,,"于尚,赵鹏涛,陈芊朵,吕明明"
,熊出没之熊心归来,,简介：每年雨季前熊大都会带领动物们对狗熊岭堤坝进行修缮加固，但是小动物们偷懒拖沓，让熊大日渐不满。一日暴雨突降，堤坝倒塌，熊大愤然离开家园，没想到却被泥石流冲走。当它醒来时发现自己在一个落魄的马戏团里，一场偶然表演救场，让熊大被留下，成为马戏团的一员。而同时，森林里的动物们却一个接一个神秘失踪。,"丁亮,林永长",,"张伟,张秉君,谭笑"
,情欲迷城,,简介：阿民与阿Ling是一对恋人，确总是貌合神离，这种恋爱方式比分手更加痛苦，被爱人抛弃的阿丽是阿民的朋友，在一个情人节的夜晚，两人共同度过了4个小时的情人节；2、阿俊自从与阿Ling分手后，一直过着颓废的生活，直到有一天一个偷别人钱的小女孩闯入了她的生活。,朱苏,,"苏德伦,夏念念"
,雇佣兵,,简介：雇佣兵是一种特殊的兵种，他们了为利益而参加战争，丝毫不在乎名誉和道德。子安（苗韵桐饰）和他的小队就是这样一队雇佣兵，而且手段高超，堪称个中翘楚。他们在一次任务中负责解救被绑架的网络安全专家Sherri(张夕桥饰)，经过一番激战，子安小队击退了乌鸦（富俊峰饰）率领的武装劫匪，却被告知威胁世界网络安全的芯片被乌鸦带走。面对戒备森严的恐怖分子营地和Sherri的请求，这群为了金钱作战的雇佣兵会如何抉择呢？,董晓萌,,"苗韵桐,叶超,李骁航,富俊峰,张夕桥"
,罪欲·黑道风情,,简介：两个从小一起习武的小伙伴长大后一起来到北京，想闯出一番事业，但事与愿违，迥异性格的两人最终选择了不同的道路。宋子明失足进入黑社会，被黑社会利用谋杀，作为兄弟的莫琛为了救赎宋子明也进入黑社会，为此斗智斗勇。,王栓宝,,"王延龙,辛柔,郝毅博,刘晓艳"
,地下黑拳,,简介：在蒋师傅门下学拳的小凡，一心的在为全国武术比赛练习，而让他想不到的是，他的女朋友玲玲的哥哥陈思远对玲玲产生了色心，陈思远找到了在黑道心狠手辣的大飞，想要借大飞的手杀掉小凡，大飞看小凡的武术很厉害，想要靠小凡打黑拳捞一笔，大飞找到了小凡，小凡没有答应，然而大飞派阿毛伤了小凡的妈妈，小凡的妈妈的治疗需要一大笔的费用，小凡被逼无奈的去找了大飞，答应帮大飞去打黑拳，凑足了手术费用的小凡把钱找个小孩把钱送到了在医院的蒋师傅的手中，蒋师傅看到后非常气愤，找到了他的徒弟去找小凡。,薛少,,"陈杨子,张蓝兮,蒋德亮,吴海波"
,猎爱,,简介：新红影星上官雪儿为了千万片酬签约了一份附加协议，此后她的整个人生都朝着一个诡异的方向发展：同居一室的霸道总裁武天祥趁机诱惑她，还时不时出现在精神病院，一直不对付的继妹突然出现跟踪偷拍她，高位瘫痪的妈妈突然站在她面前，还有电影的女主原型让雪儿感觉熟悉又恐惧……随之而来的丑闻艳照风波将上官雪儿名誉和与她暧昧不清的武天祥纠缠在一起，雪儿把再也经不起背叛的心全部交给武天祥后，却发现武天祥霸道深情面具下的可怕秘密，真相逼得雪儿精神极度崩溃跳河自杀……横在两人中间的真相究竟是什么？武天祥是否可以再次救活雪儿那颗频死的心？,褚会林,,"刘前程,金泊含"
,赶尽杀绝,,简介：老鬼，中国退伍特种部队成员，在外海执行雇佣赏金任务，由于情报出差错，定点清除目标任务时候，发现目标妻子与孩子也在现场，由于时间紧迫，没有时间做出太多选择，只能清理现场，目标被击中要害，但没有死，目标在自己失血过多昏迷前，看到老鬼把自己的妻儿拉离现场，目标失去意识的同时，听到枪声。老鬼带着目标妻子，在内地开了酒吧，安静的生活着。多年后，老鬼在家乡无意中卷入了与当地富二代的冲突之中，为了一个小女孩，和富二代家族结下梁子。富二代无休止的纠缠让老鬼痛下决心，清理对方以消除对自己及情人的伤害。同时，老鬼知道了自己救的小女孩竟然是自己多年前离弃的女儿，富二代为了报复老鬼绑架了小女孩。与此同时，老鬼当年没杀死的目标也浮出水面。是阴谋还是巧合？一场明与暗的较量与厮杀逐渐展开。。,张洋,,"周娟,杨君豪,布凤娇,廖黎玥,王成瑜,刘凯榕"
,炼爱,,简介：一场世纪豪华婚礼的举行，将不同世界里的上官雪儿和武天祥牢牢纠缠在一起。单纯善良的新娘上官雪儿如愿嫁给了爱她如命的武天祥，她住进了让她隐有不安的百合楼婚房，答应爱人新婚蜜月间断绝与外界的一切信息。原本甜蜜浪漫的蜜月，随着玫瑰楼里那个神秘活死人的觉醒，被彻底撕碎。新婚之夜，武天祥态度与大变，突然扔下雪儿疯一般跑去了庄园里的那座玫瑰楼；自此之后，武天祥像换了一个人一样，每晚都会去神秘的玫瑰楼过夜，明明那么爱雪儿却对她极尽折磨，宁愿离婚也要让她逃离这个庄园；最熟悉的闺蜜也变得很陌生，似真似假的友情让雪儿痛苦不堪；而这一切的谜团似乎都直指那座玫瑰楼里的秘密还有雪儿……,褚会林,,"刘前程,金泊含"
,七宗罪之爱欲深,,简介：《七宗罪之爱欲深》但丁在神曲里根据恶行的严重性顺序排列七宗罪。,"李政霖,任翔,刘伟忠",,"辛柔,陈鹏"
,大宋夜总汇之梦回青楼,,简介：失意的足球运动员欧阳(小北)在一次意外之中穿越回了宋朝，之后在宋朝开展的一段啼笑皆非的事情，之后成为了人生赢家的故事。,闫石,,"王鲁,徐千京"
