playcounts,name,actor
223.0万次播放 ,罗曼蒂克消亡史,"葛优,章子怡"
162.7万次播放 ,醒醒吧2,"姜寒,肖旭"
123.1万次播放 ,醒醒吧,"姜寒,鄂博"
109.5万次播放 ,隐瞒,"蕾切尔·敏纳,克里斯蒂安·凯恩"
93.6万次播放 ,追爱100天,"霍秋慧,徐大宁"
90.0万次播放 ,消失的女人,"王宇泽,孙瑜"
89.1万次播放 ,情圣,"肖央,闫妮"
74.6万次播放 ,醒醒吧3,"姜寒,肖旭"
69.2万次播放 ,魔法学院之见习女巫,"张纬驰,姚威"
65.1万次播放 ,"你好,疯子!","万茜,周一围"
61.5万次播放 ,机械师2:复活,"杰森·斯坦森,杰西卡·阿尔芭"
,凌辰看电影,
59.9万次播放 ,夜惑,"曹曹,赵心怡"
53.2万次播放 ,绝地逃亡,"成龙,约翰尼·诺克斯维尔"
48.9万次播放 ,精武门之逆天行者,"程志远,尹泽强"
42.1万次播放 ,铁道飞虎,"成龙,黄子韬"
42.0万次播放 ,龙之战,"杰森·贝尔,阿曼达·布鲁克斯"
40.3万次播放 ,极限特工,"范·迪塞尔,艾莎·阿基多"
36.7万次播放 ,金刚狼,"休·杰克曼,列维·施瑞博尔"
36.7万次播放 ,驴得水,"大力,任素汐"
,有部电影,
29.3万次播放 ,泡沫之夏,"罗仲谦,黄灿灿"
26.8万次播放 ,搜索,"高圆圆,王学圻"
24.6万次播放 ,极限特工2,"艾斯·库珀,威廉·达福"
23.4万次播放 ,做局,"李振宇,卜宇鑫"
22.1万次播放 ,三人行,"赵薇,古天乐"
21.1万次播放 ,西游记之孙悟空三打白骨精,"郭富城,巩俐"
19.3万次播放 ,湄公河行动,"张涵予,彭于晏"
18.9万次播放 ,魔弦传说,"阿特·帕金森,查理兹·塞隆"
17.9万次播放 ,反贪风暴2,"古天乐,张智霖"
17.6万次播放 ,鸭片,樊二狗
17.3万次播放 ,大鱼海棠,"季冠霖,苏尚卿"
17.0万次播放 ,从你的全世界路过,"邓超,白百何"
16.7万次播放 ,食物链,"Yoon Seol-hee,Kim Min-hyeok"
15.4万次播放 ,夏洛特烦恼,"沈腾,马丽"
